Origin,Office,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Spain,African Intellectual Property Organization,1,0,0,0,0,0,0,0,1,4,5,4,10,4,NULL
Spain,African Regional Intellectual Property Organization,0,0,0,2,0,0,0,0,2,3,7,6,4,5,NULL
Spain,Algeria,7,8,0,0,0,22,11,41,29,25,24,9,9,14,NULL
Spain,Andorra,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NULL
Spain,Argentina,0,0,0,0,0,0,0,75,31,31,49,61,65,46,NULL
Spain,Australia,126,141,132,164,128,155,170,184,127,123,146,141,147,153,NULL
Spain,Austria,2,1,1,0,0,0,0,0,0,0,0,0,0,0,NULL
Spain,Bahrain,0,0,0,0,0,0,3,6,3,2,3,5,4,0,NULL
Spain,Bangladesh,0,0,0,0,0,0,3,1,0,0,1,1,0,0,NULL
Spain,Belarus,0,1,3,2,1,1,1,0,1,0,3,0,2,1,NULL
Spain,Belgium,10,4,8,4,3,0,4,1,2,4,1,3,3,5,NULL
Spain,Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,15,0,12,9,0,NULL
Spain,Bosnia and Herzegovina,0,3,0,0,0,0,0,1,0,0,0,0,0,0,NULL
Spain,Brazil,129,175,196,182,164,256,261,375,302,265,234,200,211,181,NULL
Spain,Bulgaria,0,1,0,2,2,0,0,0,0,0,0,0,0,0,NULL
Spain,Canada,139,178,226,242,223,249,215,240,183,214,226,189,221,201,NULL
Spain,Chile,58,77,99,110,36,34,85,129,93,95,87,71,72,73,NULL
Spain,China,179,260,301,343,256,327,388,410,378,340,342,393,378,405,NULL
Spain,Hong Kong SAR,56,57,82,92,92,65,97,74,89,76,72,73,79,93,NULL
Spain,Macao SAR,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NULL
Spain,Colombia,0,0,32,0,0,43,57,74,60,63,66,60,53,56,NULL
Spain,Costa Rica,0,0,0,0,0,14,0,16,9,23,12,6,13,5,NULL
Spain,Croatia,3,3,1,1,0,0,1,0,0,0,0,0,0,0,NULL
Spain,Cuba,4,2,9,6,3,0,6,3,1,15,0,4,3,4,NULL
Spain,Cyprus,2,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL
Spain,Czech Republic,2,1,0,0,1,2,1,0,0,0,0,0,0,0,NULL
Spain,Denmark,19,25,32,17,4,3,1,5,5,6,15,8,1,0,NULL
Spain,Dominican Republic,3,3,1,2,0,7,7,8,4,11,8,8,9,8,NULL
Spain,Ecuador,6,0,10,0,0,0,0,0,0,0,0,0,12,10,NULL
Spain,Egypt,15,0,15,0,18,24,28,30,18,31,0,12,12,14,NULL
Spain,El Salvador,0,0,0,0,0,0,0,0,0,0,8,1,4,0,NULL
Spain,Eurasian Patent Organization,21,27,15,17,12,19,27,26,22,25,22,21,23,18,NULL
Spain,European Patent Office,973,1094,1286,1325,1259,1436,1416,1550,1506,1463,1522,1562,1677,1782,1887
Spain,Finland,1,0,4,0,1,0,0,1,1,1,1,3,4,1,NULL
Spain,France,76,70,48,31,37,52,62,88,70,80,108,87,68,86,NULL
Spain,Georgia,0,2,1,1,1,3,1,3,0,1,4,3,2,0,NULL
Spain,Germany,34,43,32,22,38,26,29,24,44,28,27,26,25,44,NULL
Spain,Greece,2,2,0,2,3,0,1,0,1,0,0,0,0,0,NULL
Spain,Guatemala,0,3,1,1,4,4,6,10,7,15,12,5,5,1,NULL
Spain,Honduras,0,0,0,0,0,0,2,7,1,0,9,0,2,1,NULL
Spain,Hungary,8,2,2,0,0,0,1,0,1,1,0,2,2,0,NULL
Spain,Iceland,6,1,2,0,0,1,0,0,0,0,0,0,0,0,NULL
Spain,India,106,127,174,171,0,213,202,253,193,181,200,171,171,185,NULL
Spain,Indonesia,0,0,0,0,0,0,0,0,31,39,39,39,0,26,NULL
Spain,Iran (Islamic Republic of),0,0,0,0,0,0,0,0,0,0,0,12,16,18,NULL
