Comunidad Autónoma;Provincia;Sector Técnico;Subsector Técnico;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Galicia;A Coruña;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Galicia;A Coruña;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;2;1;1;3;2;2;2;1;1;1
Galicia;A Coruña;Ingeniería eléctrica;Tecnología audio-visual;2;0;4;1;5;0;0;4;1;0
Galicia;A Coruña;Ingeniería eléctrica;Telecomunicaciones;1;4;4;5;1;4;4;2;0;0
Galicia;A Coruña;Ingeniería eléctrica;Comunicación Digital;0;0;1;4;4;1;1;1;2;0
Galicia;A Coruña;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;1;1;0;0;0;1;0
Galicia;A Coruña;Ingeniería eléctrica;Tecnología Informática;1;1;3;1;2;1;1;0;0;0
Galicia;A Coruña;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;1;0;0;0;0;0;2;0;1;1
Galicia;A Coruña;Ingeniería eléctrica;Semiconductores;0;1;0;0;0;0;0;0;0;0
Galicia;A Coruña;Instrumentos;Óptica;0;0;2;0;0;0;2;0;0;0
Galicia;A Coruña;Instrumentos;Medida;1;7;2;1;2;4;2;0;1;3
Galicia;A Coruña;Instrumentos;Análisis de materiales biológicos;1;0;0;4;2;0;1;1;2;0
Galicia;A Coruña;Instrumentos;Control;0;2;4;0;7;4;0;3;1;2
Galicia;A Coruña;Instrumentos;Tecnología médica;1;0;2;4;3;7;1;7;0;3
Galicia;A Coruña;Química;Química orgánica precisa;5;4;9;2;4;4;3;1;0;0
Galicia;A Coruña;Química;Biotecnología;4;9;9;5;4;4;4;6;2;1
Galicia;A Coruña;Química;Productos Farmacéuticos;4;7;11;6;5;5;3;0;4;1
Galicia;A Coruña;Química;Química macromolecular, polímeros;1;0;3;1;3;1;1;0;2;1
Galicia;A Coruña;Química;Química alimenticia;5;0;6;1;1;0;3;1;1;0
Galicia;A Coruña;Química;Química de las materias primas;0;0;2;1;0;0;1;0;0;0
Galicia;A Coruña;Química;Materiales, metalurgia;0;0;1;0;1;3;0;2;2;1
Galicia;A Coruña;Química;Tecnología de superficie, revestimiento;0;1;0;0;0;0;1;1;0;0
Galicia;A Coruña;Química;Microestructuras y nano-tecnología;0;0;1;1;0;0;0;0;0;0
Galicia;A Coruña;Química;Ingeniería química;1;1;1;1;3;1;0;1;2;0
Galicia;A Coruña;Química;Tecnología ambiental;1;0;2;4;4;3;0;1;3;1
Galicia;A Coruña;Ingeniería mecánica;Manipulación;1;0;0;2;3;1;1;3;0;3
Galicia;A Coruña;Ingeniería mecánica;Herramientas;2;1;0;0;0;0;2;1;0;1
Galicia;A Coruña;Ingeniería mecánica;Motores, bombas, turbinas;2;1;2;3;9;5;1;5;10;6
Galicia;A Coruña;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;1;0;0;0
Galicia;A Coruña;Ingeniería mecánica;Otras máquinas especiales;4;3;4;1;2;3;4;3;3;0
Galicia;A Coruña;Ingeniería mecánica;térmicos y aparatos;2;2;3;2;5;2;3;3;2;1
Galicia;A Coruña;Ingeniería mecánica;Elementos mecánicos;1;2;1;0;7;5;2;1;6;0
Galicia;A Coruña;Ingeniería mecánica;Transporte;2;2;2;7;9;2;4;5;3;2
Galicia;A Coruña;Otros campos;Mobiliario, juegos;2;0;3;1;3;3;0;2;1;1
Galicia;A Coruña;Otros campos;Otros bienes de consumo;2;0;2;1;1;1;2;1;0;0
Galicia;A Coruña;Otros campos;Ingeniería civil;5;4;6;6;7;5;5;8;16;2
Castilla-La Mancha;Albacete;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;1;1;2;1;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;1;1
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;1;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;1;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Tecnología Informática;0;0;1;1;0;1;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería eléctrica;Semiconductores;0;0;1;1;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Instrumentos;Medida;0;0;0;2;0;1;0;1;0;1
Castilla-La Mancha;Albacete;Instrumentos;Análisis de materiales biológicos;0;0;1;0;1;0;1;0;0;0
Castilla-La Mancha;Albacete;Instrumentos;Control;2;2;2;0;1;0;0;1;0;1
Castilla-La Mancha;Albacete;Instrumentos;Tecnología médica;0;0;0;2;2;0;2;1;1;1
Castilla-La Mancha;Albacete;Química;Química orgánica precisa;0;0;3;2;1;0;2;0;1;2
Castilla-La Mancha;Albacete;Química;Biotecnología;1;0;0;2;0;1;1;0;0;0
Castilla-La Mancha;Albacete;Química;Productos Farmacéuticos;0;0;1;2;0;0;0;0;0;2
Castilla-La Mancha;Albacete;Química;Química macromolecular, polímeros;0;0;0;0;0;1;0;0;0;1
Castilla-La Mancha;Albacete;Química;Química alimenticia;3;0;2;1;3;0;0;0;0;0
Castilla-La Mancha;Albacete;Química;Química de las materias primas;0;0;0;1;0;0;0;0;0;1
Castilla-La Mancha;Albacete;Química;Materiales, metalurgia;1;0;0;0;1;0;0;1;2;0
Castilla-La Mancha;Albacete;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Química;Ingeniería química;1;0;2;0;1;0;0;1;2;2
Castilla-La Mancha;Albacete;Química;Tecnología ambiental;0;0;1;0;3;1;1;0;0;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Manipulación;0;0;1;1;1;0;0;1;2;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Herramientas;0;0;0;0;1;2;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Motores, bombas, turbinas;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Otras máquinas especiales;7;1;0;2;4;5;1;3;0;1
Castilla-La Mancha;Albacete;Ingeniería mecánica;térmicos y aparatos;3;0;0;1;0;1;1;0;0;0
Castilla-La Mancha;Albacete;Ingeniería mecánica;Elementos mecánicos;1;0;0;1;0;0;1;0;0;1
Castilla-La Mancha;Albacete;Ingeniería mecánica;Transporte;0;0;1;1;1;1;2;1;2;1
Castilla-La Mancha;Albacete;Otros campos;Mobiliario, juegos;1;0;3;1;0;3;1;1;0;0
Castilla-La Mancha;Albacete;Otros campos;Otros bienes de consumo;1;0;0;0;1;1;0;0;1;0
Castilla-La Mancha;Albacete;Otros campos;Ingeniería civil;5;2;0;3;2;1;0;1;1;0
Comunidad Valenciana;Alicante;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;4;4;6;1;0;3;2;3;1
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Tecnología audio-visual;0;1;1;2;0;0;0;1;3;0
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Telecomunicaciones;1;1;0;0;2;0;0;0;1;0
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Comunicación Digital;1;0;0;0;0;0;0;0;1;0
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Tecnología Informática;0;0;0;0;3;1;0;3;3;2
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;1;1;0;0;2;0;1;1;1;2
Comunidad Valenciana;Alicante;Ingeniería eléctrica;Semiconductores;1;0;0;1;1;0;0;0;0;0
Comunidad Valenciana;Alicante;Instrumentos;Óptica;1;1;0;0;2;1;2;0;1;1
Comunidad Valenciana;Alicante;Instrumentos;Medida;3;0;2;4;3;6;2;1;2;0
Comunidad Valenciana;Alicante;Instrumentos;Análisis de materiales biológicos;0;0;4;0;1;0;1;1;0;0
Comunidad Valenciana;Alicante;Instrumentos;Control;0;3;1;2;3;5;2;4;3;0
Comunidad Valenciana;Alicante;Instrumentos;Tecnología médica;0;2;3;5;6;7;3;5;8;4
Comunidad Valenciana;Alicante;Química;Química orgánica precisa;1;1;0;1;1;1;1;3;4;1
Comunidad Valenciana;Alicante;Química;Biotecnología;5;1;0;1;0;5;5;3;1;1
Comunidad Valenciana;Alicante;Química;Productos Farmacéuticos;1;2;1;2;5;4;3;0;2;1
Comunidad Valenciana;Alicante;Química;Química macromolecular, polímeros;0;0;0;0;0;2;3;2;0;1
Comunidad Valenciana;Alicante;Química;Química alimenticia;5;3;3;5;4;5;5;3;1;4
Comunidad Valenciana;Alicante;Química;Química de las materias primas;0;2;2;4;2;2;3;3;3;0
Comunidad Valenciana;Alicante;Química;Materiales, metalurgia;4;0;1;2;6;1;3;1;0;2
Comunidad Valenciana;Alicante;Química;Tecnología de superficie, revestimiento;0;2;1;3;1;0;1;0;0;0
Comunidad Valenciana;Alicante;Química;Microestructuras y nano-tecnología;0;0;0;0;0;1;0;1;0;0
Comunidad Valenciana;Alicante;Química;Ingeniería química;2;3;1;2;4;1;3;3;2;0
Comunidad Valenciana;Alicante;Química;Tecnología ambiental;3;5;0;3;1;2;1;0;3;2
Comunidad Valenciana;Alicante;Ingeniería mecánica;Manipulación;2;2;5;4;4;1;8;3;6;12
Comunidad Valenciana;Alicante;Ingeniería mecánica;Herramientas;2;0;2;2;5;0;0;0;0;2
Comunidad Valenciana;Alicante;Ingeniería mecánica;Motores, bombas, turbinas;0;1;1;1;1;2;3;5;3;0
Comunidad Valenciana;Alicante;Ingeniería mecánica;Máquinas del textil y del papel;4;5;6;7;2;5;7;8;3;10
Comunidad Valenciana;Alicante;Ingeniería mecánica;Otras máquinas especiales;9;8;11;8;1;1;5;4;2;2
Comunidad Valenciana;Alicante;Ingeniería mecánica;térmicos y aparatos;2;5;3;0;0;1;1;0;2;0
Comunidad Valenciana;Alicante;Ingeniería mecánica;Elementos mecánicos;2;1;1;0;1;1;1;1;0;1
Comunidad Valenciana;Alicante;Ingeniería mecánica;Transporte;0;4;5;4;3;2;1;2;1;2
Comunidad Valenciana;Alicante;Otros campos;Mobiliario, juegos;7;8;5;5;2;2;3;7;5;2
Comunidad Valenciana;Alicante;Otros campos;Otros bienes de consumo;5;2;8;4;5;10;3;1;1;5
Comunidad Valenciana;Alicante;Otros campos;Ingeniería civil;15;4;12;12;10;6;5;10;6;4
Andalucía;Almería;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;0;0;1;0;0;0;1;1;2
Andalucía;Almería;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería eléctrica;Telecomunicaciones;0;0;0;0;0;0;0;0;1;0
Andalucía;Almería;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería eléctrica;Tecnología Informática;0;0;0;2;2;1;0;0;0;0
Andalucía;Almería;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;1;0;0
Andalucía;Almería;Ingeniería eléctrica;Semiconductores;0;0;0;0;0;0;0;0;1;0
Andalucía;Almería;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Instrumentos;Medida;1;0;0;1;0;3;1;2;0;1
Andalucía;Almería;Instrumentos;Análisis de materiales biológicos;0;0;0;0;0;1;0;0;0;0
Andalucía;Almería;Instrumentos;Control;1;0;0;1;2;0;1;0;1;1
Andalucía;Almería;Instrumentos;Tecnología médica;0;0;3;2;0;0;0;0;2;5
Andalucía;Almería;Química;Química orgánica precisa;1;0;0;1;0;0;0;0;1;0
Andalucía;Almería;Química;Biotecnología;3;0;1;0;1;0;2;0;1;1
Andalucía;Almería;Química;Productos Farmacéuticos;0;0;0;0;0;0;0;1;1;2
Andalucía;Almería;Química;Química macromolecular, polímeros;0;0;0;1;0;0;0;0;1;0
Andalucía;Almería;Química;Química alimenticia;1;0;0;1;1;0;0;0;2;2
Andalucía;Almería;Química;Química de las materias primas;1;4;1;1;2;0;0;1;0;1
Andalucía;Almería;Química;Materiales, metalurgia;2;2;2;0;0;5;1;3;0;1
Andalucía;Almería;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;1;1;0;0;0
Andalucía;Almería;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;1;0
Andalucía;Almería;Química;Ingeniería química;0;0;0;1;1;1;1;0;0;1
Andalucía;Almería;Química;Tecnología ambiental;0;0;0;0;0;4;1;0;1;4
Andalucía;Almería;Ingeniería mecánica;Manipulación;0;0;1;2;0;1;0;0;0;0
Andalucía;Almería;Ingeniería mecánica;Herramientas;0;0;0;0;0;0;1;0;0;0
Andalucía;Almería;Ingeniería mecánica;Motores, bombas, turbinas;5;0;1;0;0;0;0;1;1;5
Andalucía;Almería;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;0;0;0;0;0;0
Andalucía;Almería;Ingeniería mecánica;Otras máquinas especiales;3;0;6;4;5;3;6;4;0;7
Andalucía;Almería;Ingeniería mecánica;térmicos y aparatos;0;0;0;0;0;0;0;3;2;0
Andalucía;Almería;Ingeniería mecánica;Elementos mecánicos;1;0;1;0;1;0;0;0;0;2
Andalucía;Almería;Ingeniería mecánica;Transporte;10;1;1;2;0;3;2;2;1;7
Andalucía;Almería;Otros campos;Mobiliario, juegos;0;0;1;0;0;0;0;0;2;0
Andalucía;Almería;Otros campos;Otros bienes de consumo;0;1;0;1;0;0;2;1;2;3
Andalucía;Almería;Otros campos;Ingeniería civil;2;1;3;1;0;4;0;1;2;3
País Vasco;Araba/Álava;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;0;1;0;0;3;1;1;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Telecomunicaciones;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Comunicación Digital;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Tecnología Informática;0;0;0;2;0;0;1;0;1;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;1;0;0
País Vasco;Araba/Álava;Ingeniería eléctrica;Semiconductores;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Óptica;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Medida;1;1;2;2;3;3;0;0;0;1
País Vasco;Araba/Álava;Instrumentos;Análisis de materiales biológicos;0;0;0;0;1;0;0;0;0;0
País Vasco;Araba/Álava;Instrumentos;Control;2;2;0;1;1;0;0;0;0;1
País Vasco;Araba/Álava;Instrumentos;Tecnología médica;1;4;4;3;2;4;2;3;2;1
País Vasco;Araba/Álava;Química;Química orgánica precisa;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Biotecnología;0;1;1;0;0;0;0;2;0;0
País Vasco;Araba/Álava;Química;Productos Farmacéuticos;0;1;2;0;0;1;1;1;1;0
País Vasco;Araba/Álava;Química;Química macromolecular, polímeros;0;0;1;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Química alimenticia;0;1;0;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Química;Química de las materias primas;1;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Materiales, metalurgia;0;1;0;0;0;1;1;0;0;0
País Vasco;Araba/Álava;Química;Tecnología de superficie, revestimiento;0;0;0;0;0;0;0;1;0;0
País Vasco;Araba/Álava;Química;Microestructuras y nano-tecnología;0;0;0;0;0;0;0;0;0;0
País Vasco;Araba/Álava;Química;Ingeniería química;0;1;1;2;0;1;1;0;0;0
País Vasco;Araba/Álava;Química;Tecnología ambiental;1;0;1;1;0;2;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Manipulación;2;0;3;2;1;2;0;3;7;1
País Vasco;Araba/Álava;Ingeniería mecánica;Herramientas;1;3;1;1;1;0;3;0;2;1
País Vasco;Araba/Álava;Ingeniería mecánica;Motores, bombas, turbinas;2;1;0;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Máquinas del textil y del papel;0;0;0;0;1;0;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Otras máquinas especiales;2;1;4;3;2;1;0;2;2;2
País Vasco;Araba/Álava;Ingeniería mecánica;térmicos y aparatos;3;0;1;1;0;1;0;0;0;0
País Vasco;Araba/Álava;Ingeniería mecánica;Elementos mecánicos;1;4;3;5;4;4;0;0;1;0
País Vasco;Araba/Álava;Ingeniería mecánica;Transporte;2;0;1;2;6;3;0;0;1;2
País Vasco;Araba/Álava;Otros campos;Mobiliario, juegos;2;2;1;1;0;0;0;0;0;0
País Vasco;Araba/Álava;Otros campos;Otros bienes de consumo;0;2;3;2;0;0;0;1;0;0
País Vasco;Araba/Álava;Otros campos;Ingeniería civil;4;2;3;3;6;2;1;2;3;2
Asturias;Asturias;Sin clasificar;Sin clasificar;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Maquinaria eléctrica, aparato, energía;1;2;1;2;1;0;0;0;0;1
Asturias;Asturias;Ingeniería eléctrica;Tecnología audio-visual;0;0;0;1;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Telecomunicaciones;0;1;0;1;1;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Comunicación Digital;0;1;1;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Procesos básicos de la comunicación;0;0;0;0;0;0;0;0;0;0
Asturias;Asturias;Ingeniería eléctrica;Tecnología Informática;1;2;1;0;1;0;0;1;0;0
Asturias;Asturias;Ingeniería eléctrica;Métodos de Tecnologías de la Información para Gestión;0;0;0;0;0;0;0;0;0;0
