Universidad,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2007-2018
Universidad Politécnica de Madrid,39,41,72,65,52,47,51,66,43,40,29,32,577
Universidad de Sevilla,15,24,35,36,50,39,46,45,34,32,16,21,393
Universitat Politécnica de Catalunya,37,32,43,32,35,49,28,34,22,25,26,2,365
Universitat Politécnica de Valencia,20,29,21,26,25,22,20,30,26,26,28,27,300
Universidad de Granada,16,20,23,22,21,23,24,28,21,17,15,20,250
Universidad de Málaga,36,14,8,24,24,10,13,55,13,14,11,13,235
Universidad Complutense de Madrid,22,13,22,13,18,31,20,21,18,21,14,11,224
Universidade de Santiago de Compostela,12,21,23,29,28,20,22,16,12,11,12,14,220
Universidad Autónoma de Madrid,24,16,30,17,18,20,20,15,11,12,10,7,200
Universidad de Alicante,13,7,12,15,14,16,14,21,23,17,13,15,180
Universidad de Vigo,11,13,18,17,11,17,19,17,11,15,17,5,171
Universidad de Valladolid,4,11,12,14,12,20,10,13,22,12,24,15,169
Universidad de Cádiz,9,7,13,9,10,26,17,15,20,16,14,8,164
Universidade da Coruña,8,11,7,5,8,17,12,11,24,27,11,7,148
Universidad de Zaragoza,19,20,20,13,12,10,8,11,9,5,8,7,142
Universidad del País Vasco,16,6,16,16,22,22,7,7,7,9,6,6,140
Universidad Carlos III de Madrid,5,9,14,10,8,10,10,11,6,13,28,10,134
Universidad de Alcalá,7,13,11,12,10,14,16,9,8,17,7,7,131
Universidad de Extremadura,1,7,8,15,15,15,6,10,22,18,9,3,129
Universitat de Valencia,7,10,7,9,11,10,17,10,12,12,11,9,125
Universitat de Barcelona,12,19,23,25,8,11,7,8,7,0,0,0,120
Universidad de Cantabria,3,4,9,11,14,13,9,12,9,11,8,8,111
Universidad de Córdoba,5,7,6,10,10,9,9,6,20,8,6,5,101
Universitat Autónoma de Barcelona,7,16,11,9,15,7,19,6,6,0,4,1,101
Universidad de Jaén,5,8,6,6,8,7,17,8,7,13,9,6,100
Universidad de Burgos,2,4,6,5,8,7,17,9,9,11,13,5,96
Universidad de Castilla La Mancha,8,9,8,19,10,3,9,2,9,9,7,3,96
Universidad de Murcia,5,9,8,9,5,5,6,5,8,11,5,10,86
Universidad de Oviedo,4,13,7,6,11,7,12,5,7,9,3,2,86
Universidad Rey Juan Carlos,3,7,3,5,3,7,3,8,26,4,12,3,84
Universidad de Miguel Hernández,5,5,3,10,11,11,8,4,10,4,7,5,83
Universidad de La Rioja,5,3,1,4,6,13,11,12,11,6,7,0,79
Universidad de Huelva,5,5,7,9,10,4,7,9,5,6,4,5,76
Universidad de Almería,4,6,7,5,7,9,4,5,7,13,6,2,75
Universidad de La Laguna,5,8,7,7,7,4,5,7,6,11,5,2,74
Universidad de Las Palmas de Gran Canaria,6,3,0,8,5,8,6,2,7,12,9,3,69
Universidad Politécnica de Cartagena,2,3,8,4,6,3,6,9,6,7,4,3,61
Universidad de León,2,1,1,5,7,2,10,7,5,5,3,10,58
Universidad de Salamanca,2,5,1,3,6,10,10,0,10,6,3,2,58
Universitat Rovira i Virgili,1,8,1,3,2,9,10,5,4,2,4,2,51
Universidad Nacional de Educación a Distancia,0,3,2,5,7,6,6,7,3,3,0,3,45
Universidad Pablo de Olavide,0,4,5,5,6,3,6,4,3,6,1,2,45
Universitat de les Illes Balears,2,4,6,0,4,7,4,8,4,2,1,1,43
Universidad Pública de Navarra,6,4,3,4,4,5,5,5,2,1,0,2,41
Universitat Jaume I,4,2,0,3,5,2,5,2,1,3,2,1,30
Universitat de Girona,0,3,3,1,4,2,3,3,2,1,1,1,24
Universitat de Lleida,1,4,2,2,1,4,0,1,3,1,0,1,20
Universitat Pompeu Fabra,2,1,2,2,1,1,0,1,2,0,0,0,12
Total,427,492,561,584,595,617,594,605,563,524,433,327,6322
